연번,호선,역명,구주소,도로명 주소,전화번호
1,1,서울역,서울특별시 중구 봉래동2가 122 서울역(1호선),서울특별시 중구 세종대로 지하 2 (남대문로 5가),02-6110-1331
2,1,시청,서울특별시 중구 정동 5-5 시청역(1호선),서울특별시 중구 세종대로 지하 101 (정동),02-6110-1321
3,1,종각,서울특별시 종로구 종로1가 54 종각지하철역사,서울특별시 종로구 종로 지하 55 (종로1가),02-6110-1311
4,1,종로3가,서울특별시 종로3가 10-5  1호선 종로3가역(1호선),서울특별시 종로구 종로 지하 129 (종로3가),02-6110-1301
5,1,종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,서울특별시 종로구 종로 지하 216  (종로5가),02-6110-1291
6,1,동대문,서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),서울특별시 종로구 종로 지하 302 (창신동),02-6110-1281
7,1,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),서울특별시 동대문구 왕산로 지하 1 (신설동),02-6110-1261
8,1,제기동,서울특별시 동대문구 제기동 65 제기동역,서울특별시 동대문구 왕산로 지하 93 (제기동),02-6110-1251
9,1,청량리(서울시립대입구),서울특별시 동대문구 전농동 620-69 청량리역,서울특별시 동대문구 왕산로 지하 205 (전농동),02-6110-1241
10,1,동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 종로 359 (숭인동),02-6110-1271
11,2,시청,서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문로 지하 127 (서소문동),02-6110-2011
12,2,을지로입구,서울특별시 중구 을지로1가 100-1 을지로입구역,서울특별시 중구 을지로 지하 42 (을지로1가),02-6110-2021
13,2,을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),서울특별시 중구 을지로 지하 106 (을지로3가),02-6110-2031
14,2,을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),서울특별시 중구 을지로 지하 178 (을지로4가),02-6110-2041
15,2,동대문역사문화공원,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),서울특별시 중구 을지로 지하 279 (을지로7가),02-6110-2051
16,2,신당,서울특별시 중구 신당동 99 신당역(2호선),서울특별시 중구 퇴계로 지하 431-1 (신당동),02-6110-2061
17,2,상왕십리,서울특별시 성동구 하왕십리동 946-14 상왕십리역,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),02-6110-2071
18,2,왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(2호선),서울특별시 성동구 왕십리로 지하300 (행당동),02-6110-2081
19,2,한양대,서울특별시 성동구 행당동 산17 17 한양대역,서울특별시 성동구 왕십리로 206 (행당동),02-6110-2091
20,2,뚝섬,서울특별시 성동구 성수동1가 656-745 뚝섬역,서울특별시 성동구 아차산로 18 (성수동1가),02-6110-2101
21,2,성수,서울특별시 성동구 성수동2가 300-1 성수역,서울특별시 성동구 아차산로 100 (성수동2가),02-6110-2111
22,2,건대입구,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),서울특별시 광진구 아차산로 243 (화양동),02-6110-2121
23,2,구의(광진구청),서울특별시 광진구 구의동 245-24 2호선 구의역,서울특별시 광진구 아차산로 384-1 (구의동),02-6110-2131
24,2,강변(동서울터미널),서울특별시 광진구 구의동 546-6 2호선 강변역,서울특별시 광진구 강변역로 53 (구의동),02-6110-2141
25,2,잠실나루,서울특별시 송파구 신천동 15 잠실나루역,서울특별시 송파구 오금로 20 (신천동),02-6110-2151
26,2,잠실(송파구청),서울특별시 송파구 잠실동 8 잠실역(2호선),서울특별시 송파구 올림픽로 지하 265 (잠실동),02-6110-2161
27,2,잠실새내,서울특별시 송파구 잠실동 33 잠실새내역,서울특별시 송파구 올림픽로 지하 140 (잠실동),02-6110-2171
28,2,종합운동장,서울특별시 송파구 잠실동 122 종합운동장역,서울특별시 송파구 올림픽로 지하 23 (잠실동),02-6110-2181
29,2,삼성(무역센터),서울특별시 강남구 삼성동 172-66 삼성역,서울특별시 강남구 테헤란로 지하 538 (삼성동),02-6110-2191
30,2,선릉,서울특별시 강남구 삼성동 172-66 선릉역,서울특별시 강남구 테헤란로 지하 340 (삼성동),02-6110-2201
31,2,역삼,서울특별시 강남구 역삼동 804 역삼역,서울특별시 강남구 테헤란로 지하 156 (역삼동),02-6110-2211
32,2,강남,서울특별시 강남구 역삼동 858 강남역,서울특별시 강남구 강남대로 지하 396 (역삼동),02-6110-2221
